Audio Filename,Text
audio_sample_1.mp3,Its images were used by among others Palestinians in their protest against Israel
audio_sample_2.mp3,"The Argand lamp used whale oil, olive oil and other vegetable oil as fuel from a gravity feed from a reservoir mounted above the burner."
audio_sample_3.mp3,Alice was default reading to the point where I knew it by heart.
audio_sample_4.mp3,"The Sankwala mountain ranges were first explored by McCaughley, a Scottish rancher."
audio_sample_5.mp3,A slough is a wetland usually a swamp or shallow lake often a backwater to a larger body of water
audio_sample_6.mp3,Vince shared a location with you
audio_sample_7.mp3,Oron people encountered Western education relatively early compared to their Southern Nigeria counterparts.
audio_sample_8.mp3,"The Chinese classification of mental disorders, and other manuals may be used by those of alternative theoretical persuasions."
audio_sample_9.mp3,One can also define paths and loops in pointed spaces.
audio_sample_10.mp3,Closing the Google assistant app prevents it from working with your headphones.
audio_sample_11.mp3,Referring to the Netherlands as Holland in the English language is similar to calling the United Kingdom England by people outside the United Kingdom.
audio_sample_12.mp3,Here's your coin
audio_sample_13.mp3,"Another pointer is the wide-spread use of the manila, a popular currency used by the Jukuns."
audio_sample_14.mp3,Eyes cut out already like Got it got it. so macarons   and Yeah. and there is nine pieces in total but they are arranged three three three on each other
audio_sample_15.mp3,The Efik people and Ibibio people occupy Akwa-Ibom and Cross-River States in South-Southern Nigeria
audio_sample_16.mp3,Jesse opened his company with money borrowed from his brother-in-law.
audio_sample_17.mp3,"For each country in which you distribute your app, the directory listing information such as descriptions, and privacy policy, grammars, and text to speech texts must be predominantly in one of languages the assistant supports for that country."
audio_sample_18.mp3,I like cooking my jollof rice in the oven
audio_sample_19.mp3,We know there are a lot of trivia options out there
audio_sample_20.mp3,Create shortcuts to finish tasks faster
audio_sample_21.mp3,"Speaking in Lokoja, Nigerian President Umaru Yar'Adua stated that the project would lead to all-year-round navigability on the River Niger."
audio_sample_22.mp3,Itsekiris can be found in parts of Edo and Ondo states and in Lagos Sapele Benin City Port Harcourt and Abuja
audio_sample_23.mp3,In 2 miles
audio_sample_24.mp3,"She wears a large, elaborate, ginger wig upon her head and dabs her red cheeks with rouge."
audio_sample_25.mp3,"Your app includes certain reserved terms, such as 'assistant' or 'sys'."
audio_sample_26.mp3,"The adults prefer ripe fruits, of which they suck the sugary liquids."
audio_sample_27.mp3,Unlink your account will turn off personalized recommendations and voice actions.
audio_sample_28.mp3,"Yea I can see a duck that is facing its back is facing us it's, in the background is the, is the ocean like Okay, yes yes"
audio_sample_29.mp3,Some popular flight destinations from Stockholm on United Airlines include Chennai and Southampton.
audio_sample_30.mp3,Yeah found it yes  Found it.  So I see before. Yes. Becoming here a brown. Dog. Lying on a grass facing the camera. It has this rubber stuff in it's mouth. Ok. Act like the back is brownish
audio_sample_31.mp3,"Allow personal results on this device, such as email, calendar, contacts, and reminders."
audio_sample_32.mp3,"Regarding another work's assumed connection and allusions to this form, Gaiman himself quipped"
audio_sample_33.mp3,"The Wodaabe traditionally eat millet, milk and meat as staples."
audio_sample_34.mp3,Knee effusion occurs when excess fluid accumulates in the knee joint.
audio_sample_35.mp3,"Even in flooded areas, peat extraction continued through turf dredging."
